ITEM_ID,OFFER_KIND_NM,DC_AMT_PER_ONE,DC_RATE_PER_ONE,ORD_AMT_PER_ONE,DC_AMT,TOTAL_ORD_CNT_SUM,RLOAD_AMT_SUM,ORD_AMT_SUM
6609400,310,380,10,3800,760,2,6840,7600
1.00E+12,310,398,10,3980,3582,9,32238,35820
9658414,310,180,10,1800,360,2,3240,3600
1.00E+12,310,259,6.6,3900,259,1,3641,3900
7544803,310,264,6.6,3980,264,1,3716,3980
1.00E+12,310,79,6.6,1200,79,1,1121,1200
7049652,310,426,6.7,6400,426,1,5974,6400
6951675,310,351,6.6,5280,351,1,4929,5280
1.00E+12,310,998,10,9980,998,1,8982,9980
6609429,310,138,10,1380,966,7,8694,9660
1.00E+12,310,645,5,12900,645,1,12255,12900
2.10E+12,310,257,7,3680,771,3,10269,11040
1.00E+12,310,99,5,1980,14256,144,270864,285120
2.10E+12,310,199,5,3980,1791,9,34029,35820
1.00E+12,200,8000,10,80000,16000,2,144000,160000
1.00E+12,310,636,4.3,14900,636,1,14264,14900
1.00E+12,310,5777,9.1,63750,11553,2,115947,127500
10698740,100,768,9.1,8480,768,1,7712,8480
6820123,100,436,13.8,3150,436,1,2714,3150
1.00E+12,310,398,10,3980,796,2,7164,7960
7179860,310,189,10,1890,378,2,3402,3780
1.00E+12,310,1218,6.8,17900,1218,1,16682,17900
6609038,310,158,8.8,1800,316,2,3284,3600
1.00E+12,310,218,8.8,2480,218,1,2262,2480
2.10E+12,310,1478,28,5280,25126,17,64634,89760
2.10E+12,310,298,10,2980,9238,31,83142,92380
2.10E+12,310,1850,10,18500,24050,13,216450,240500
7695459,310,470,10,4700,1410,3,12690,14100
1.00E+12,310,248,10,2480,1240,5,11160,12400
1.00E+12,310,598,10,5980,1794,3,16146,17940
1.00E+12,310,158,10,1580,14220,90,127980,142200
1.00E+12,310,1150,10,11500,2300,2,20700,23000
10219983,310,39,9.8,398,3822,98,35182,39004
1.00E+12,310,98,10,980,1372,14,12348,13720
1.00E+12,100,495,5,9900,495,1,9405,9900
1.00E+12,310,929,9.8,9480,929,1,8551,9480
2.10E+12,310,164,9.8,1680,164,1,1516,1680
2.10E+12,310,2020,36.9,5480,2020,1,3460,5480
6615248,310,225,9.8,2300,899,4,8301,9200
2.10E+12,310,94,5,1880,1128,12,21432,22560
2.10E+12,310,730,33.5,2180,1460,2,2900,4360
1.00E+12,310,313,9,3480,313,1,3167,3480
1.00E+12,340,2000,14.3,13980,10000,5,59900,69900
1.00E+12,340,3000,10.7,27980,6000,2,49960,55960
1.00E+12,340,3000,15,19980,6000,2,33960,39960
6610887,310,628,10,6280,628,1,5652,6280
1.00E+12,100,1860,10,18600,1860,1,16740,18600
1.00E+12,310,848,10,8480,2544,3,22896,25440
1.00E+12,310,598,10,5980,1196,2,10764,11960
1.00E+12,200,1808,5.9,30400,1808,1,28592,30400
1.00E+12,200,598,10,5980,598,1,5382,5980
1.00E+12,200,4551,5.9,76500,4551,1,71949,76500
1.00E+12,511,304,36.6,830,41037,135,71013,112050
1.00E+12,310,3058,36.1,8480,3058,1,5422,8480
1.00E+12,310,2842,36,7900,2842,1,5058,7900
1.00E+12,100,288,10,2880,864,3,7776,8640
1.00E+12,100,8490,10,84900,8490,1,76410,84900
1.00E+12,200,4000,20,20000,44000,11,176000,220000
5201859,300,6670,14.5,46000,6670,1,39330,46000
8632112,310,1298,10,12980,1298,1,11682,12980
1.00E+12,310,998,10,9980,998,1,8982,9980
1.00E+12,310,998,10,9980,998,1,8982,9980
1.00E+12,240,4360,20,21800,4360,1,17440,21800
7242787,310,562,14.5,3880,1686,3,9954,11640
10219983,310,56,14.1,398,224,4,1368,1592
1.00E+12,310,1012,14.5,6980,2024,2,11936,13960
1.00E+12,100,1447,14.5,9980,1447,1,8533,9980
1.00E+12,100,699,19,3680,1398,2,5962,7360
1.00E+12,100,362,14.5,2500,362,1,2138,2500
10219983,100,56,14.1,398,224,4,1368,1592
1.00E+12,310,497,6.9,7220,994,2,13446,14440
1.00E+12,310,418,7,5980,2090,5,27810,29900
7695362,310,217,7,3100,217,1,2883,3100
2.10E+12,310,2052,34.9,5880,16416,8,30624,47040
7021185,310,159,7,2280,795,5,10605,11400
1.00E+12,240,800,7.6,10500,3200,4,38800,42000
9653425,310,423,9.2,4580,423,1,4157,4580
1.00E+12,310,174,9.3,1880,2612,15,25588,28200
1.00E+12,310,958,9.2,10380,958,1,9422,10380
10041285,310,441,9.2,4780,441,1,4339,4780
1.00E+12,200,2400,8,30000,2400,1,27600,30000
1.00E+12,310,341,7,4880,341,1,4539,4880
1.00E+12,310,173,7,2480,173,1,2307,2480
2.10E+12,310,616,7,8800,616,1,8184,8800
1.00E+12,310,10000,7.2,139000,10000,1,129000,139000
1.00E+12,200,3950,10,39500,3950,1,35550,39500
1.00E+12,340,1953,24.5,7980,1953,1,6027,7980
1.00E+12,340,397,7,5680,397,1,5283,5680
1.00E+12,340,838,7,11980,838,1,11142,11980
9526026,340,348,7,4980,348,1,4632,4980
1.00E+12,310,7420,28,26500,200340,27,515160,715500
1.00E+12,200,5800,10,58000,5800,1,52200,58000
1.00E+12,200,5500,10,55000,5500,1,49500,55000
1.00E+12,200,5800,10,58000,5800,1,52200,58000
1.00E+12,200,1666,7,23800,1666,1,22134,23800
1.00E+12,500,10000,8,125000,10000,1,115000,125000
1.00E+12,310,468,10,4680,15444,33,138996,154440
1.00E+12,310,360,10,3600,720,2,6480,7200
6972035,310,149,5,2980,745,5,14155,14900
8082162,310,349,5,6980,6631,19,125989,132620
7150833,310,249,5,4990,5976,24,113784,119760
